COUNTRY,POPULATION,enet_HG_log_raw_model_pred,enet_HG_log_raw_index_0_100
Kazakhstan,"20,843,754",2.9869028985212607,23.831076219922682
Kenya,"57,532,493",4.103378026258363,35.49415822679507
Kosovo,"1,600,000",2.0559327964798055,14.10584331835052
Kuwait,"5,026,078",2.8334661000947423,22.22822281238863
Kyrgyzstan,"7,295,034",1.8517159389544713,11.972524001751651
Laos,"7,873,046",1.2415019055558925,5.598018975655058
Latvia,"1,853,559",4.252984436355713,37.05699808446008
Lebanon,"5,849,421",2.126791281212612,14.846055346178192
Lesotho,"2,363,325",2.1863437137786104,15.468160476396125
Liberia,"5,731,206",2.005240439275013,13.576293573342332
Libya,"7,458,555",0.748037999255398,0.4431258090878305
Lithuania,"2,830,144",4.1883401045144275,36.381701228476814
Luxembourg,"680,453",4.468850632114026,39.31201038262353
Madagascar,"32,740,678",1.1141387102757663,4.267539366834614
Malawi,"22,216,120",1.6191865568301393,9.54344234525276
Malaysia,"35,977,838",5.301866635648453,48.01398118420405
Maldives,"529,676",1.9582583310758341,13.085502361635374
Mali,"25,198,821",1.0042249829129286,3.1193428830382928
Malta,"545,405",3.755784207017225,31.863074006308995
Mauritania,"5,315,065",0.9940535212375265,3.0130883067358027
Mauritius,"1,268,280",2.3808825176281907,17.500379525839012
Mexico,"131,946,900",5.226643023266369,47.2281695362154
Micronesia,"113,683",1.9563556315359525,13.065626109834714
Moldova,"2,996,106",2.840954013033749,22.30644411844223
Mongolia,"3,517,100",2.6531958136070344,20.345057587767883
Montenegro,"632,729",2.5426558211552206,19.190318924115235
Morocco,"38,430,770",3.1705730377861046,25.749757472411776
Mozambique,"35,631,653",1.1829266220059553,4.9861214791086
Myanmar,"54,850,648",1.82221532095994,11.664350430862527
Namibia,"3,092,816",1.6902160968627635,10.285441275394616
Nepal,"29,618,118",2.1391097551839637,14.974738349102395
Netherlands,"18,346,819",7.45331692300471,70.48876858587536
New Zealand,"5,251,899",5.842700556786083,53.66371776822567
Nicaragua,"7,007,502",1.912827152018013,12.610912687529312
Niger,"27,917,831",1.592716964811391,9.266931910999888
Nigeria,"237,527,782",3.5563989390388158,29.7802271307967
North Korea,"26,571,036",2.784398722247299,21.715648158928293
North Macedonia,"1,813,791",2.7871387104911336,21.744271015624154
Norway,"5,623,071",6.475419914824311,60.27332113224541
Oman,"5,494,691",2.458277720250591,18.308876350083636
Pakistan,"255,219,554",4.500599732209322,39.64367236850794
Panama,"4,571,189",2.657540371127463,20.390442325309714
Papua New Guinea,"10,762,817",2.2458087640630406,16.089352781338732
Paraguay,"7,013,078",1.8768615584938972,12.23520376551527
Peru,"34,576,665",3.747239269382428,31.773810657845296
Philippines,"116,786,962",5.17786979875358,46.71866770934962
Poland,"38,140,910",6.5476449433869774,61.02780854548712
Portugal,"10,411,834",5.9077084899187895,54.34281292797254
Qatar,"3,115,889",2.8570074294064645,22.474143610346662
Republic of the Congo,"112,832,473",2.503984177885092,18.786341678590578
Romania,"18,908,650",4.5557687329191925,40.2199866665439
Russia,"143,997,393",5.41043303878655,49.14810305717151
Rwanda,"14,569,341",2.381494313668831,17.506770557055198
Samoa,"219,306",2.29767931218365,16.631210312637485
Saudi Arabia,"34,566,328",5.1759558945988635,46.698674410300484
Senegal,"18,931,966",1.3028544784248233,6.238928988718464
Serbia,"6,689,039",3.3810372732402487,27.94833904098693
Seychelles,"132,779",2.6854709255921505,20.68221447421492
Sierra Leone,"8,819,794",1.204439209569672,5.210849345141932
Singapore,"5,870,750",6.645250982300686,62.04743469562256
Slovakia,"5,474,881",3.877916551361246,33.13891035267076
Slovenia,"2,117,072",4.217260321796573,36.683811734513675
Solomon Islands,"838,645",2.089982544665237,14.461538663042115
Somalia,"19,654,739",0.903975325553791,2.072100588164888
South Africa,"64,747,319",5.159909921510183,46.53105267349328
South Korea,"51,667,029",6.889083732337701,64.5945952090922
South Sudan,"12,188,788",1.372824873982665,6.96986373251203
Spain,"47,889,958",6.8090250576735025,63.75827484263444
Sri Lanka,"23,229,470",2.9022358454336246,22.94661515231004
Sudan,"51,662,147",2.2941205869301418,16.594034648405966
Suriname,"639,850",2.432815832670239,18.04289274192095
Sweden,"10,656,633",6.759882192873372,63.244911626583
Switzerland,"8,967,407",6.684338928136768,62.45576078049506
Syria,"25,620,427",1.0748516313637553,3.857133069571227
Taiwan,"23,112,793",4.985010834024452,44.703996835350544
Tajikistan,"10,786,734",1.0222775925438818,3.3079266332115798
Tanzania,"70,545,865",1.834410972385195,11.791750387356203
Thailand,"71,619,863",4.843753119467778,43.228370313945575
Timor-Leste,"1,418,517",1.3510014002339488,6.741888242791995
Togo,"9,721,608",1.7191548161831407,10.58774506006692
Tonga,"103,742",2.5444835647658817,19.209412160577997
Trinidad and Tobago,"1,511,155",2.4483452111753574,18.20511795457576
Tunisia,"12,348,573",3.254394344772751,26.62538358625986
Turkey,"87,685,426",5.465579953557614,49.724186637917754
Turkmenistan,"7,618,847",1.1740259579583188,4.893142090563144
Uganda,"51,384,894",2.744250596045644,21.29624706643712
Ukraine,"38,980,376",3.9861627133423383,34.26968687670629
United Arab Emirates,"11,346,000",6.4506628601545195,60.01470045034304
United Kingdom,"69,551,332",9.887028963881969,95.9121590481374
United States,"347,275,807",10.278346863062517,100.0
Uruguay,"3,384,688",3.3747381595979977,27.88253634000864
Uzbekistan,"37,053,428",3.0825432889361055,24.830168531847686
Vanuatu,"335,169",1.7007250661510338,10.395221571947411
Venezuela,"28,516,896",2.7257671533409793,21.103162686249664
Vietnam,"101,598,527",4.399469572688771,38.587232046145466
Yemen,"41,773,878",0.8132927459730048,1.1247992681712338
Zambia,"21,913,874",1.835301143266579,11.801049417609349
Zimbabwe,"16,950,795",2.4774795276205075,18.509465013880757
