COUNTRY,POPULATION,enet_HG_Normalized_model_pred,enet_HG_Normalized_index_0_100
Philippines,"116,786,962",0.32095294032582866,0.6236111037668746
Poland,"38,140,910",1.2796063366618275,1.5793839780721293
Portugal,"10,411,834",1.0137277830786533,1.3143043253576383
Qatar,"3,115,889",-0.013216351435096474,0.29044591005702236
Republic of the Congo,"112,832,473",-0.03153461725475881,0.27218268620399805
Romania,"18,908,650",0.5418071713673576,0.8438017211597901
Russia,"143,997,393",0.5440240313585201,0.8460119200218438
Rwanda,"14,569,341",0.08250177586697438,0.385876427493537
Samoa,"219,306",-0.09682120463159105,0.20709226926162086
Saudi Arabia,"34,566,328",0.6660435773902575,0.9676648267740782
Senegal,"18,931,966",0.0356757169803954,0.33919106960979306
Serbia,"6,689,039",-0.0635754241420754,0.24023815420651595
Seychelles,"132,779",0.059738881239442376,0.363181929869248
Sierra Leone,"8,819,794",-0.1271613165341856,0.17684332207099068
Singapore,"5,870,750",4.870924501554798,5.159911098847463
Slovakia,"5,474,881",0.21029556629971835,0.5132862284362936
Slovenia,"2,117,072",0.17009451374700157,0.4732059703416987
Solomon Islands,"838,645",-0.09146044909915751,0.2124369170178011
Somalia,"19,654,739",0.08049731841618124,0.38387799295349423
South Africa,"64,747,319",0.6798965031978046,0.9814761278837612
South Korea,"51,667,029",3.1587045532258644,3.452835958122081
South Sudan,"12,188,788",-0.03492692453045265,0.2688005719927423
Spain,"47,889,958",4.292271795729459,4.582997104712553
Sri Lanka,"23,229,470",0.04435717816490703,0.3478464450992072
Sudan,"51,662,147",-0.015842020912737453,0.2878281300823078
Suriname,"639,850",0.031541139593392,0.3350689156297234
Sweden,"10,656,633",2.9813064105924294,3.275970854082179
Switzerland,"8,967,407",3.7440814387624872,4.036453927431503
Syria,"25,620,427",0.16856709987050955,0.4716831459751778
Taiwan,"23,112,793",0.5922624739408782,0.8941054177293196
Tajikistan,"10,786,734",-0.024366674172312752,0.27932909134787004
Tanzania,"70,545,865",0.09705804317408884,0.40038895673137237
Thailand,"71,619,863",0.4271098846475476,0.7294490720978924
Timor-Leste,"1,418,517",9.744037389425309e-05,0.3037196971356641
Togo,"9,721,608",0.1268486303563745,0.4300900303908194
Tonga,"103,742",-0.051603484660962096,0.25217412089959357
Trinidad and Tobago,"1,511,155",-0.3045376115518983,0.0
Tunisia,"12,348,573",0.20655178858583634,0.5095536998706691
Turkey,"87,685,426",1.4142342729237052,1.713607389885611
Turkmenistan,"7,618,847",0.1016801440899282,0.40499716934976526
Uganda,"51,384,894",-0.0579377494889286,0.24585888900830183
Ukraine,"38,980,376",0.5784698295110606,0.8803542168663785
United Arab Emirates,"11,346,000",1.7798651189362058,2.078139603471539
United Kingdom,"69,551,332",23.04472899454398,23.27910769661135
United States,"347,275,807",99.99684382625442,100.0
Uruguay,"3,384,688",0.10056209086519452,0.40388247560506657
Uzbekistan,"37,053,428",0.019859860052522382,0.32342273551393624
Vanuatu,"335,169",-0.008478881357414814,0.2951691451807771
Venezuela,"28,516,896",0.030166847554316423,0.3336987530064621
Vietnam,"101,598,527",0.4916078906437338,0.7937532771563036
Yemen,"41,773,878",0.21595846031549915,0.5189321068226168
Zambia,"21,913,874",0.12332851641161957,0.4265804935386897
Zimbabwe,"16,950,795",0.11406541378081791,0.4173452242951196
